Timestamp,Sensor_ID,Water_Flow_Rate,Water_Pressure,Water_Temperature,Water_Quality,Water_Level,Leak_Detection,Valve_Status,Pump_Status,Power_Consumption,Region_ID,Demand_Prediction,Maintenance_Status,Daily_Usage,Pressure_Drop,Pipe_Age,Alert_Status,Predicted_Leak,Season
2024-10-18 08:06:24.179489,1936,123.01258147246466,458742.87762092747,11.43685857445903,8,2.6293986313592934,1,closed,inactive,4.670474442126477,60,7546.177642310514,No,6855.607312842626,2244.5740840021813,88,1,1,Fall
2024-10-18 08:05:24.179500,1740,61.70682143268744,212911.64708428067,27.884570154914375,6,1.880210887909631,0,closed,active,3.454263589724283,55,8269.850962651515,No,9446.864179879429,4637.1825310039085,61,0,0,Spring
2024-10-18 08:04:24.179502,1416,59.250223609528376,163731.6934060911,21.065049453783065,3,4.425078326710082,1,open,inactive,1.9826138994850626,25,8617.360368900232,No,8123.586568045339,4999.566667375334,11,1,0,Fall
2024-10-18 08:03:24.179503,1441,81.0238583217771,457735.7263869799,22.79089869427193,7,3.5004764473018333,0,closed,active,0.45804519035782265,35,1867.9140618329577,Yes,7722.62796183691,2133.6166411436207,32,1,0,Spring
2024-10-18 08:02:24.179505,1163,67.68831935059202,320732.97809791844,14.563713307334083,6,2.437436199976517,1,open,active,1.0491822040679846,20,644.6009949374077,Yes,8390.072067665744,993.8851903742863,23,1,0,Summer
2024-10-18 08:01:24.179506,1009,145.20217191933466,355373.0134016386,15.000822514693922,1,1.03687525600653,1,open,inactive,2.1144893144392625,84,1957.7106566105033,Yes,1971.8551296757041,1981.3392563601733,29,0,1,Fall
2024-10-18 08:00:24.179508,1805,77.70880368154761,497297.3854659689,18.411778921268066,1,2.3328310343992356,1,open,active,2.247132222411333,23,1242.3687328966962,Yes,7831.555388039413,4518.232273436984,94,1,1,Winter
2024-10-18 07:59:24.179510,1113,64.42563493069947,102186.40181723608,26.75733055296739,5,4.2944362759822745,0,closed,active,4.604127847513321,25,7158.693139858187,No,3308.3441545864034,855.880865555127,87,0,1,Spring
2024-10-18 07:58:24.179512,1320,55.55253448721511,330948.5769811774,19.60121219162818,10,1.9545698584546742,1,closed,inactive,1.8159309732878808,40,3023.3764363113023,Yes,8416.484049248851,353.60476545204966,60,0,1,Winter
2024-10-18 07:57:24.179514,1864,82.72953980647891,301860.14951451553,24.764609973672975,4,0.9438100019204346,0,open,inactive,4.85524261420462,95,6756.368848467164,No,8628.468418674947,4054.017219338127,74,0,0,Fall
2024-10-18 07:56:24.179515,1716,99.44752915302632,407018.01258063805,24.04572302164105,9,2.72486288699588,1,open,inactive,1.4725169400765576,48,2164.7662198673374,No,1374.1569480310027,3422.3469924954425,19,0,0,Fall
2024-10-18 07:55:24.179516,1455,49.931113562996444,213732.554473505,22.17248340126185,8,4.467547633166648,1,open,active,2.097147116057705,30,1678.672716803472,No,1939.8877067833398,3102.942520316398,72,1,1,Winter
2024-10-18 07:54:24.179518,1023,48.750443567518,484905.8962832424,19.65510841159615,10,2.9922913364918644,1,open,inactive,3.1494839464942515,4,5670.825861546508,Yes,3175.208313775445,4127.75154116426,52,0,1,Spring
2024-10-18 07:53:24.179519,1068,62.17823756377851,331362.9222790723,13.012733681916561,5,2.055014939456718,1,closed,inactive,3.5614701719305657,80,4588.867934945572,No,8832.094889990021,4649.457211720808,82,0,1,Spring
2024-10-18 07:52:24.179520,1657,146.3687803474822,346614.12351781176,27.24579912608228,10,1.3805698493435892,1,open,active,4.665603923048512,77,8759.095738343192,Yes,1143.2647541289439,3174.7028266487014,80,1,0,Fall
2024-10-18 07:51:24.179522,1098,116.44250682733878,453660.8756853361,22.090513498557495,2,1.083653416712083,1,open,inactive,4.716896323103281,31,2514.164486969883,No,8938.913693316037,2404.524515502363,23,1,1,Fall
2024-10-18 07:50:24.179523,1634,199.86870522956795,376687.745699852,20.179561982618345,1,0.7083822006221847,1,closed,active,1.4372362371870229,28,7383.713103786864,Yes,4359.451486384604,942.1876407248648,6,0,1,Spring
2024-10-18 07:49:24.179524,1466,127.50035455549964,248620.05676590707,15.17310907286993,7,1.0007310933264892,0,closed,inactive,2.1781522501394988,33,2281.0177442540307,Yes,1287.9834971031373,3534.0495862021457,53,0,1,Winter
2024-10-18 07:48:24.179526,1029,141.73434603128692,147903.56510888736,28.933206730124535,10,3.8952914144774446,0,closed,active,2.666346076853302,26,5432.346847798216,No,5799.197817988558,683.8991983915482,9,0,1,Fall
2024-10-18 07:47:24.179528,1742,10.605026654595184,398641.0717198898,23.32234864204223,4,4.945026110872548,0,open,inactive,3.368642141809782,47,1360.3604259528397,Yes,9305.252291522493,1843.6838619314278,60,1,1,Fall
2024-10-18 07:46:24.179529,1659,44.329142175925135,439396.6408758125,10.80858036375092,3,1.6873354551212145,1,closed,inactive,1.3376469637170643,8,3070.629709020059,Yes,4771.614531281761,2937.7666987403472,72,1,0,Summer
2024-10-18 07:45:24.179530,1753,138.72984253903263,378500.79169111437,29.538196285898476,10,2.8433649339762406,1,closed,inactive,4.526825480129075,96,3335.46747516677,Yes,9845.632033032247,4572.149467235194,52,0,1,Spring
2024-10-18 07:44:24.179532,1002,40.65933447899867,389443.65566297446,21.654331166303866,1,1.410673520366081,0,open,inactive,4.777528704252709,14,8153.307882508151,Yes,5152.472435248781,4886.137551574919,95,1,1,Summer
2024-10-18 07:43:24.179533,1330,99.844913818668,438545.70423891477,26.277449170031367,2,4.120265920938269,1,closed,inactive,2.406409193887674,51,4066.1723679951483,Yes,3055.806657200148,1141.9310461974003,23,0,1,Spring
2024-10-18 07:42:24.179534,1143,136.74011015546074,142581.5481931474,12.541142612066142,8,4.781981793189094,1,closed,inactive,4.798956053612853,41,1929.5460463349716,No,3454.7907139139616,1102.6003977945197,69,0,0,Summer
2024-10-18 07:41:24.179536,1180,11.982369509393907,236116.7403680508,23.937581873013706,9,4.4626816848300255,1,closed,inactive,1.822904796241722,15,3798.544190810364,No,4363.427613315291,4343.225745677398,59,1,1,Winter
2024-10-18 07:40:24.179537,1259,192.71739672405275,166118.68283267994,10.445683041269252,8,4.581679820320033,0,open,inactive,0.5973361370543191,68,6710.563061789598,Yes,2346.8927770476876,2656.5537624955887,51,1,0,Summer
2024-10-18 07:39:24.179540,1198,73.0185547630867,290046.24216138246,27.32832743434566,7,2.5763243053860463,1,open,inactive,0.5696570782809943,12,7554.307310811373,No,7261.626828487463,656.1684474266982,67,1,0,Fall
2024-10-18 07:38:24.179541,1604,49.81028766468014,137021.29583200344,14.141308424101595,9,2.5243988388451397,1,open,inactive,2.932949338942835,46,2213.1634727287715,Yes,4437.008922010011,4341.232883546231,37,0,0,Winter
2024-10-18 07:37:24.179542,1850,60.60372552863524,476914.3757415605,15.930646302853877,9,2.237001630907268,1,open,inactive,0.49993028785378824,8,5300.24324077941,No,2120.1679645702134,2803.8342104356148,93,1,1,Fall
2024-10-18 07:36:24.179544,1790,118.68371282081905,276827.1324817636,22.78661708785678,3,3.534416183832437,0,open,active,3.8464233406942365,61,9690.477922423126,No,7195.897935135959,1738.1482594368897,1,0,0,Fall
2024-10-18 07:35:24.179545,1954,33.76423600670028,260368.82218629346,29.54877225289655,9,3.9808246023517824,0,closed,active,0.6717000231155323,29,7447.61645812844,Yes,4144.239133754252,3956.9982935588882,85,1,0,Fall
